y_rep_rank;car_make_model;fault_rate;mileage;report_year;car_prod_y
1.;Porsche 911;2.1%;29 000 km;2017;2015
1.;Mercedes-Benz GLK;2.1%;52 000 km;2017;2015
3.;Mercedes-Benz B;2.2%;40 000 km;2017;2015
4.;Mercedes-Benz A;2.3%;40 000 km;2017;2015
5.;Mercedes-Benz SLK;2.4%;29 000 km;2017;2015
6.;Mercedes-Benz M;2.5%;63 000 km;2017;2015
6.;Mazda 2;2.5%;33 000 km;2017;2015
8.;Opel Adam;2.6%;26 000 km;2017;2015
8.;Opel Mokka;2.6%;35 000 km;2017;2015
10.;Audi Q5;2.7%;61 000 km;2017;2015
11.;Mercedes-Benz C;2.9%;57 000 km;2017;2015
12.;Audi Q3;3.0%;45 000 km;2017;2015
13.;Audi A6;3.1%;79 000 km;2017;2015
13.;Audi TT;3.1%;35 000 km;2017;2015
15.;BMW X1;3.2%;45 000 km;2017;2015
15.;Volkswagen Golf Plus;3.2%;33 000 km;2017;2015
17.;Mercedes-Benz E Coupé;3.3%;41 000 km;2017;2015
18.;Škoda Citigo;3.4%;34 000 km;2017;2015
18.;Audi A3;3.4%;47 000 km;2017;2015
18.;Audi A1;3.4%;36 000 km;2017;2015
21.;Audi A4;3.5%;73 000 km;2017;2015
21.;Škoda Octavia;3.5%;53 000 km;2017;2015
23.;Volvo V40;3.6%;48 000 km;2017;2015
23.;Mitsubishi ASX;3.6%;42 000 km;2017;2015
25.;Volkswagen Golf;3.7%;43 000 km;2017;2015
26.;Seat Leon;3.8%;44 000 km;2017;2015
26.;Mazda 3;3.8%;35 000 km;2017;2015
26.;Volkswagen Beetle;3.8%;34 000 km;2017;2015
29.;Toyota Yaris;3.9%;32 000 km;2017;2015
30.;Volvo XC60;4.0%;63 000 km;2017;2015
30.;Smart Fortwo;4.0%;28 000 km;2017;2015
30.;Toyota Corolla Verso;4.0%;42 000 km;2017;2015
30.;Seat Altea;4.0%;44 000 km;2017;2015
34.;BMW X3;4.1%;55 000 km;2017;2015
34.;Mercedes-Benz E;4.1%;83 000 km;2017;2015
36.;Volvo S60;4.2%;61 000 km;2017;2015
37.;Honda Jazz;4.3%;30 000 km;2017;2015
37.;BMW Mini;4.3%;33 000 km;2017;2015
37.;Toyota Auris;4.3%;36 000 km;2017;2015
37.;Opel Agila;4.3%;23 000 km;2017;2015
37.;Volkswagen Up!;4.3%;32 000 km;2017;2015
37.;Kia Picanto;4.3%;28 000 km;2017;2015
43.;Honda Civic;4.4%;44 000 km;2017;2015
43.;Opel Astra;4.4%;49 000 km;2017;2015
43.;Volkswagen Polo;4.4%;36 000 km;2017;2015
43.;BMW Mini Countryman;4.4%;39 000 km;2017;2015
47.;Opel Meriva;4.5%;32 000 km;2017;2015
47.;Suzuki SX4;4.5%;35 000 km;2017;2015
47.;Honda CRV;4.5%;41 000 km;2017;2015
47.;Seat mii;4.5%;31 000 km;2017;2015
51.;Renault Modus;4.6%;27 000 km;2017;2015
51.;Mazda CX-5;4.6%;44 000 km;2017;2015
51.;BMW 1;4.6%;44 000 km;2017;2015
54.;Peugeot 208;4.7%;35 000 km;2017;2015
55.;Hyundai ix20;4.8%;30 000 km;2017;2015
55.;Ford Fiesta;4.8%;48 000 km;2017;2015
57.;Volkswagen EOS;4.9%;38 000 km;2017;2015
57.;Renault Scénic;4.9%;41 000 km;2017;2015
57.;Hyundai i30;4.9%;40 000 km;2017;2015
57.;Škoda Fabia;4.9%;39 000 km;2017;2015
61.;Nissan Juke;5.0%;36 000 km;2017;2015
62.;Volkswagen Tiguan;5.1%;47 000 km;2017;2015
62.;BMW 3;5.1%;61 000 km;2017;2015
62.;Ford C-Max;5.1%;45 000 km;2017;2015
62.;Mazda 5;5.1%;41 000 km;2017;2015
66.;Ford Kuga;5.2%;48 000 km;2017;2015
66.;Ford B-Max;5.2%;30 000 km;2017;2015
66.;Toyota RAV4;5.2%;41 000 km;2017;2015
66.;Ford Focus;5.2%;51 000 km;2017;2015
66.;BMW X5;5.2%;64 000 km;2017;2015
66.;Mitsubishi Colt;5.2%;32 000 km;2017;2015
72.;Suzuki Swift;5.3%;35 000 km;2017;2015
72.;Škoda Yeti;5.3%;43 000 km;2017;2015
72.;Mazda 6;5.3%;46 000 km;2017;2015
75.;Nissan Note;5.4%;38 000 km;2017;2015
75.;Kia Venga;5.4%;31 000 km;2017;2015
75.;Toyota Avensis;5.4%;51 000 km;2017;2015
78.;Volkswagen Touareg;5.5%;66 000 km;2017;2015
78.;Fiat Panda;5.5%;28 000 km;2017;2015
78.;Suzuki Jimny;5.5%;27 000 km;2017;2015
78.;Seat Ibiza;5.5%;39 000 km;2017;2015
82.;Suzuki Grand Vitara;5.6%;40 000 km;2017;2015
83.;Mitsubishi Outlander;5.7%;50 000 km;2017;2015
84.;Škoda Roomster;5.8%;40 000 km;2017;2015
84.;Toyota Yaris Hybrid;5.8%;32 000 km;2017;2015
84.;Opel Zafira;5.8%;58 000 km;2017;2015
84.;Kia Cee´d;5.8%;40 000 km;2017;2015
84.;Nissan Qashqai;5.8%;44 000 km;2017;2015
84.;Opel Corsa;5.8%;33 000 km;2017;2015
90.;Kia Rio;6.1%;35 000 km;2017;2015
91.;Škoda Superb;6.3%;76 000 km;2017;2015
92.;Citroën C4;6.4%;45 000 km;2017;2015
92.;Hyundai i10;6.4%;28 000 km;2017;2015
92.;Renault Mégane;6.4%;50 000 km;2017;2015
95.;Citroën C4 Picasso;6.5%;49 000 km;2017;2015
96.;BMW 5;6.6%;70 000 km;2017;2015
97.;Citroën C3 Picasso;6.7%;36 000 km;2017;2015
97.;Renault Clio;6.7%;33 000 km;2017;2015
97.;Citroën Berlingo;6.7%;50 000 km;2017;2015
97.;Chevrolet Cruze;6.7%;45 000 km;2017;2015
97.;Volkswagen Passat;6.7%;85 000 km;2017;2015
102.;Peugeot 107;6.8%;31 000 km;2017;2015
102.;Hyundai ix35;6.8%;41 000 km;2017;2015
104.;Alfa Romeo Giulietta;6.9%;40 000 km;2017;2015
104.;Renault Twingo;6.9%;32 000 km;2017;2015
104.;Opel Insignia;6.9%;67 000 km;2017;2015
104.;Citroën C5;6.9%;65 000 km;2017;2015
108.;Toyota Aygo;7.1%;35 000 km;2017;2015
108.;Volkswagen Scirocco;7.1%;42 000 km;2017;2015
110.;Dacia Sandero;7.4%;37 000 km;2017;2015
111.;Seat Alhambra;7.5%;65 000 km;2017;2015
111.;Volkswagen Touran;7.5%;65 000 km;2017;2015
111.;Citroën C1;7.5%;34 000 km;2017;2015
114.;Nissan Micra;7.6%;28 000 km;2017;2015
114.;Volkswagen CC;7.6%;64 000 km;2017;2015
114.;Volvo V70;7.6%;69 000 km;2017;2015
117.;Ford Galaxy;7.8%;73 000 km;2017;2015
118.;Peugeot 308;7.9%;49 000 km;2017;2015
118.;Hyundai i20;7.9%;32 000 km;2017;2015
118.;Volkswagen Sharan;7.9%;68 000 km;2017;2015
121.;Citroën C3;8.0%;37 000 km;2017;2015
122.;Volkswagen Caddy Life;8.2%;59 000 km;2017;2015
122.;Ford S-Max;8.2%;67 000 km;2017;2015
124.;Ford Mondeo;8.3%;74 000 km;2017;2015
125.;Renault Kangoo;9.0%;46 000 km;2017;2015
126.;Dacia Duster;9.2%;51 000 km;2017;2015
126.;Fiat 500;9.2%;28 000 km;2017;2015
128.;Ford Ka;9.4%;31 000 km;2017;2015
129.;Dacia Logan;9.8%;43 000 km;2017;2015
130.;Fiat Punto;10.5%;33 000 km;2017;2015
131.;Chevrolet Spark;10.6%;30 000 km;2017;2015
132.;Chevrolet Captiva;11.0%;49 000 km;2017;2015
133.;Kia Sorento;11.2%;52 000 km;2017;2015
134.;Kia Sportage;11.5%;43 000 km;2017;2015
1.;Porsche 911;2.1%;29 000 km;2017;2014
1.;Mercedes-Benz GLK;2.1%;52 000 km;2017;2014
3.;Mercedes-Benz B;2.2%;40 000 km;2017;2014
4.;Mercedes-Benz A;2.3%;40 000 km;2017;2014
5.;Mercedes-Benz SLK;2.4%;29 000 km;2017;2014
6.;Mercedes-Benz M;2.5%;63 000 km;2017;2014
6.;Mazda 2;2.5%;33 000 km;2017;2014
8.;Opel Adam;2.6%;26 000 km;2017;2014
8.;Opel Mokka;2.6%;35 000 km;2017;2014
10.;Audi Q5;2.7%;61 000 km;2017;2014
11.;Mercedes-Benz C;2.9%;57 000 km;2017;2014
12.;Audi Q3;3.0%;45 000 km;2017;2014
13.;Audi A6;3.1%;79 000 km;2017;2014
13.;Audi TT;3.1%;35 000 km;2017;2014
15.;BMW X1;3.2%;45 000 km;2017;2014
15.;Volkswagen Golf Plus;3.2%;33 000 km;2017;2014
17.;Mercedes-Benz E Coupé;3.3%;41 000 km;2017;2014
18.;Škoda Citigo;3.4%;34 000 km;2017;2014
18.;Audi A3;3.4%;47 000 km;2017;2014
18.;Audi A1;3.4%;36 000 km;2017;2014
21.;Audi A4;3.5%;73 000 km;2017;2014
21.;Škoda Octavia;3.5%;53 000 km;2017;2014
23.;Volvo V40;3.6%;48 000 km;2017;2014
23.;Mitsubishi ASX;3.6%;42 000 km;2017;2014
25.;Volkswagen Golf;3.7%;43 000 km;2017;2014
26.;Seat Leon;3.8%;44 000 km;2017;2014
26.;Mazda 3;3.8%;35 000 km;2017;2014
26.;Volkswagen Beetle;3.8%;34 000 km;2017;2014
29.;Toyota Yaris;3.9%;32 000 km;2017;2014
30.;Volvo XC60;4.0%;63 000 km;2017;2014
30.;Smart Fortwo;4.0%;28 000 km;2017;2014
30.;Toyota Corolla Verso;4.0%;42 000 km;2017;2014
30.;Seat Altea;4.0%;44 000 km;2017;2014
34.;BMW X3;4.1%;55 000 km;2017;2014
34.;Mercedes-Benz E;4.1%;83 000 km;2017;2014
36.;Volvo S60;4.2%;61 000 km;2017;2014
37.;Honda Jazz;4.3%;30 000 km;2017;2014
37.;BMW Mini;4.3%;33 000 km;2017;2014
37.;Toyota Auris;4.3%;36 000 km;2017;2014
37.;Opel Agila;4.3%;23 000 km;2017;2014
37.;Volkswagen Up!;4.3%;32 000 km;2017;2014
37.;Kia Picanto;4.3%;28 000 km;2017;2014
43.;Honda Civic;4.4%;44 000 km;2017;2014
43.;Opel Astra;4.4%;49 000 km;2017;2014
43.;Volkswagen Polo;4.4%;36 000 km;2017;2014
43.;BMW Mini Countryman;4.4%;39 000 km;2017;2014
47.;Opel Meriva;4.5%;32 000 km;2017;2014
47.;Suzuki SX4;4.5%;35 000 km;2017;2014
47.;Honda CRV;4.5%;41 000 km;2017;2014
47.;Seat mii;4.5%;31 000 km;2017;2014
51.;Renault Modus;4.6%;27 000 km;2017;2014
51.;Mazda CX-5;4.6%;44 000 km;2017;2014
51.;BMW 1;4.6%;44 000 km;2017;2014
54.;Peugeot 208;4.7%;35 000 km;2017;2014
55.;Hyundai ix20;4.8%;30 000 km;2017;2014
55.;Ford Fiesta;4.8%;48 000 km;2017;2014
57.;Volkswagen EOS;4.9%;38 000 km;2017;2014
57.;Renault Scénic;4.9%;41 000 km;2017;2014
57.;Hyundai i30;4.9%;40 000 km;2017;2014
57.;Škoda Fabia;4.9%;39 000 km;2017;2014
61.;Nissan Juke;5.0%;36 000 km;2017;2014
62.;Volkswagen Tiguan;5.1%;47 000 km;2017;2014
62.;BMW 3;5.1%;61 000 km;2017;2014
62.;Ford C-Max;5.1%;45 000 km;2017;2014
62.;Mazda 5;5.1%;41 000 km;2017;2014
66.;Ford Kuga;5.2%;48 000 km;2017;2014
66.;Ford B-Max;5.2%;30 000 km;2017;2014
66.;Toyota RAV4;5.2%;41 000 km;2017;2014
66.;Ford Focus;5.2%;51 000 km;2017;2014
66.;BMW X5;5.2%;64 000 km;2017;2014
66.;Mitsubishi Colt;5.2%;32 000 km;2017;2014
72.;Suzuki Swift;5.3%;35 000 km;2017;2014
72.;Škoda Yeti;5.3%;43 000 km;2017;2014
72.;Mazda 6;5.3%;46 000 km;2017;2014
75.;Nissan Note;5.4%;38 000 km;2017;2014
75.;Kia Venga;5.4%;31 000 km;2017;2014
75.;Toyota Avensis;5.4%;51 000 km;2017;2014
78.;Volkswagen Touareg;5.5%;66 000 km;2017;2014
78.;Fiat Panda;5.5%;28 000 km;2017;2014
78.;Suzuki Jimny;5.5%;27 000 km;2017;2014
78.;Seat Ibiza;5.5%;39 000 km;2017;2014
82.;Suzuki Grand Vitara;5.6%;40 000 km;2017;2014
83.;Mitsubishi Outlander;5.7%;50 000 km;2017;2014
84.;Škoda Roomster;5.8%;40 000 km;2017;2014
84.;Toyota Yaris Hybrid;5.8%;32 000 km;2017;2014
84.;Opel Zafira;5.8%;58 000 km;2017;2014
84.;Kia Cee´d;5.8%;40 000 km;2017;2014
84.;Nissan Qashqai;5.8%;44 000 km;2017;2014
84.;Opel Corsa;5.8%;33 000 km;2017;2014
90.;Kia Rio;6.1%;35 000 km;2017;2014
91.;Škoda Superb;6.3%;76 000 km;2017;2014
92.;Citroën C4;6.4%;45 000 km;2017;2014
92.;Hyundai i10;6.4%;28 000 km;2017;2014
92.;Renault Mégane;6.4%;50 000 km;2017;2014
95.;Citroën C4 Picasso;6.5%;49 000 km;2017;2014
96.;BMW 5;6.6%;70 000 km;2017;2014
97.;Citroën C3 Picasso;6.7%;36 000 km;2017;2014
97.;Renault Clio;6.7%;33 000 km;2017;2014
97.;Citroën Berlingo;6.7%;50 000 km;2017;2014
97.;Chevrolet Cruze;6.7%;45 000 km;2017;2014
97.;Volkswagen Passat;6.7%;85 000 km;2017;2014
102.;Peugeot 107;6.8%;31 000 km;2017;2014
102.;Hyundai ix35;6.8%;41 000 km;2017;2014
104.;Alfa Romeo Giulietta;6.9%;40 000 km;2017;2014
104.;Renault Twingo;6.9%;32 000 km;2017;2014
104.;Opel Insignia;6.9%;67 000 km;2017;2014
104.;Citroën C5;6.9%;65 000 km;2017;2014
108.;Toyota Aygo;7.1%;35 000 km;2017;2014
108.;Volkswagen Scirocco;7.1%;42 000 km;2017;2014
110.;Dacia Sandero;7.4%;37 000 km;2017;2014
111.;Seat Alhambra;7.5%;65 000 km;2017;2014
111.;Volkswagen Touran;7.5%;65 000 km;2017;2014
111.;Citroën C1;7.5%;34 000 km;2017;2014
114.;Nissan Micra;7.6%;28 000 km;2017;2014
114.;Volkswagen CC;7.6%;64 000 km;2017;2014
114.;Volvo V70;7.6%;69 000 km;2017;2014
117.;Ford Galaxy;7.8%;73 000 km;2017;2014
118.;Peugeot 308;7.9%;49 000 km;2017;2014
118.;Hyundai i20;7.9%;32 000 km;2017;2014
118.;Volkswagen Sharan;7.9%;68 000 km;2017;2014
121.;Citroën C3;8.0%;37 000 km;2017;2014
122.;Volkswagen Caddy Life;8.2%;59 000 km;2017;2014
122.;Ford S-Max;8.2%;67 000 km;2017;2014
124.;Ford Mondeo;8.3%;74 000 km;2017;2014
125.;Renault Kangoo;9.0%;46 000 km;2017;2014
126.;Dacia Duster;9.2%;51 000 km;2017;2014
126.;Fiat 500;9.2%;28 000 km;2017;2014
128.;Ford Ka;9.4%;31 000 km;2017;2014
129.;Dacia Logan;9.8%;43 000 km;2017;2014
130.;Fiat Punto;10.5%;33 000 km;2017;2014
131.;Chevrolet Spark;10.6%;30 000 km;2017;2014
132.;Chevrolet Captiva;11.0%;49 000 km;2017;2014
133.;Kia Sorento;11.2%;52 000 km;2017;2014
134.;Kia Sportage;11.5%;43 000 km;2017;2014
1.;Mercedes-Benz SLK;2.9%;41 000 km;2017;2013
2.;Audi A6;4.2%;88 000 km;2017;2013
3.;Audi TT;4.4%;57 000 km;2017;2013
4.;Porsche 911;4.8%;47 000 km;2017;2013
4.;Audi Q5;4.8%;86 000 km;2017;2013
6.;Mitsubishi ASX;5.0%;71 000 km;2017;2013
7.;Audi A1;5.4%;57 000 km;2017;2013
8.;Mazda 3;5.6%;60 000 km;2017;2013
8.;BMW X1;5.6%;68 000 km;2017;2013
8.;Mercedes-Benz GLK;5.6%;75 000 km;2017;2013
8.;Hyundai ix20;5.6%;52 000 km;2017;2013
12.;BMW Mini Countryman;5.7%;58 000 km;2017;2013
13.;Opel Agila;5.8%;37 000 km;2017;2013
14.;Volvo S60;6.0%;85 000 km;2017;2013
14.;Audi A3;6.0%;71 000 km;2017;2013
14.;Ford Focus;6.0%;66 000 km;2017;2013
17.;Volkswagen Golf Plus;6.2%;54 000 km;2017;2013
17.;Mazda 2;6.2%;53 000 km;2017;2013
19.;Volvo XC60;6.3%;91 000 km;2017;2013
19.;Audi A4;6.3%;93 000 km;2017;2013
21.;Ford C-Max;6.7%;67 000 km;2017;2013
22.;Mercedes-Benz E Coupé;6.9%;62 000 km;2017;2013
22.;Opel Meriva;6.9%;52 000 km;2017;2013
24.;Toyota Yaris;7.0%;54 000 km;2017;2013
24.;Suzuki Swift;7.0%;56 000 km;2017;2013
26.;Toyota Corolla Verso;7.1%;68 000 km;2017;2013
26.;BMW Mini;7.1%;54 000 km;2017;2013
28.;Opel Astra;7.2%;68 000 km;2017;2013
28.;Mercedes-Benz C;7.2%;82 000 km;2017;2013
30.;Honda CRV;7.3%;66 000 km;2017;2013
31.;Mercedes-Benz E;7.4%;115 000 km;2017;2013
32.;Volkswagen EOS;7.5%;56 000 km;2017;2013
32.;Toyota Avensis;7.5%;84 000 km;2017;2013
34.;Hyundai ix35;7.6%;64 000 km;2017;2013
34.;Volkswagen Golf;7.6%;73 000 km;2017;2013
34.;Škoda Yeti;7.6%;70 000 km;2017;2013
37.;Kia Venga;7.8%;54 000 km;2017;2013
38.;Ford Fusion;7.9%;49 000 km;2017;2013
38.;Nissan Juke;7.9%;55 000 km;2017;2013
38.;Seat Altea;7.9%;69 000 km;2017;2013
41.;BMW 1;8.0%;72 000 km;2017;2013
41.;Mitsubishi Colt;8.0%;52 000 km;2017;2013
43.;BMW X5;8.1%;98 000 km;2017;2013
44.;Volkswagen Polo;8.2%;57 000 km;2017;2013
44.;BMW X3;8.2%;77 000 km;2017;2013
46.;Renault Modus;8.3%;47 000 km;2017;2013
46.;Mazda 5;8.3%;66 000 km;2017;2013
48.;Honda Jazz;8.6%;50 000 km;2017;2013
48.;BMW 3;8.6%;89 000 km;2017;2013
50.;Toyota Auris;8.7%;58 000 km;2017;2013
50.;Nissan Micra;8.7%;47 000 km;2017;2013
50.;Ford Fiesta;8.7%;58 000 km;2017;2013
50.;Ford Kuga;8.7%;77 000 km;2017;2013
54.;Škoda Fabia;8.9%;62 000 km;2017;2013
55.;Seat Leon;9.0%;72 000 km;2017;2013
56.;Alfa Romeo Giulietta;9.2%;62 000 km;2017;2013
56.;Škoda Roomster;9.2%;65 000 km;2017;2013
58.;Honda Civic;9.3%;58 000 km;2017;2013
58.;Renault Scénic;9.3%;72 000 km;2017;2013
58.;Toyota RAV4;9.3%;68 000 km;2017;2013
58.;Smart Fortwo;9.3%;45 000 km;2017;2013
62.;Opel Insignia;9.5%;92 000 km;2017;2013
63.;Suzuki Grand Vitara;9.6%;63 000 km;2017;2013
63.;Volvo S40;9.6%;90 000 km;2017;2013
65.;Škoda Superb;9.7%;102 000 km;2017;2013
65.;Mercedes-Benz A;9.7%;52 000 km;2017;2013
67.;Peugeot 107;9.9%;48 000 km;2017;2013
67.;Nissan Note;9.9%;60 000 km;2017;2013
67.;Suzuki SX4;9.9%;55 000 km;2017;2013
70.;Volkswagen Touran;10.0%;88 000 km;2017;2013
70.;Mazda 6;10.0%;77 000 km;2017;2013
72.;Citroën C4;10.1%;71 000 km;2017;2013
72.;Seat Ibiza;10.1%;64 000 km;2017;2013
72.;Opel Corsa;10.1%;54 000 km;2017;2013
72.;Renault Laguna;10.1%;84 000 km;2017;2013
76.;Mercedes-Benz B;10.2%;61 000 km;2017;2013
76.;Škoda Octavia;10.2%;92 000 km;2017;2013
78.;Citroën C1;10.3%;53 000 km;2017;2013
79.;Citroën C3;10.4%;56 000 km;2017;2013
80.;BMW 5;10.5%;99 000 km;2017;2013
80.;Nissan Qashqai;10.5%;70 000 km;2017;2013
82.;Volvo V70;10.6%;107 000 km;2017;2013
83.;Toyota Aygo;10.8%;50 000 km;2017;2013
83.;Suzuki Jimny;10.8%;47 000 km;2017;2013
83.;Volkswagen Tiguan;10.8%;71 000 km;2017;2013
86.;Kia Sportage;10.9%;67 000 km;2017;2013
86.;Opel Zafira;10.9%;79 000 km;2017;2013
88.;Volkswagen Scirocco;11.0%;66 000 km;2017;2013
89.;Hyundai i10;11.1%;47 000 km;2017;2013
89.;Volkswagen Caddy Life;11.1%;86 000 km;2017;2013
91.;Seat Alhambra;11.3%;90 000 km;2017;2013
92.;Mitsubishi Outlander;11.5%;77 000 km;2017;2013
93.;Kia Sorento;11.6%;81 000 km;2017;2013
93.;Hyundai i30;11.6%;63 000 km;2017;2013
95.;Renault Mégane;11.7%;71 000 km;2017;2013
96.;Peugeot 308;12.0%;69 000 km;2017;2013
97.;Citroën C3 Picasso;12.1%;61 000 km;2017;2013
98.;Peugeot 207;12.2%;54 000 km;2017;2013
99.;Citroën C4 Picasso;12.3%;78 000 km;2017;2013
99.;Volkswagen Passat;12.3%;109 000 km;2017;2013
101.;Kia Cee´d;12.4%;67 000 km;2017;2013
102.;Volkswagen CC;12.7%;91 000 km;2017;2013
103.;Hyundai i20;12.8%;54 000 km;2017;2013
103.;Citroën C5;12.8%;101 000 km;2017;2013
105.;Ford S-Max;13.2%;91 000 km;2017;2013
106.;Citroën Berlingo;13.5%;77 000 km;2017;2013
107.;Volkswagen Sharan;13.6%;95 000 km;2017;2013
107.;Ford Mondeo;13.6%;97 000 km;2017;2013
109.;Ford Galaxy;13.7%;103 000 km;2017;2013
109.;Renault Clio;13.7%;53 000 km;2017;2013
111.;Kia Picanto;14.3%;48 000 km;2017;2013
112.;Renault Twingo;14.4%;48 000 km;2017;2013
113.;Dacia Duster;14.6%;68 000 km;2017;2013
114.;Ford Ka;14.7%;49 000 km;2017;2013
115.;Fiat Punto;14.9%;57 000 km;2017;2013
116.;Chevrolet Captiva;15.0%;71 000 km;2017;2013
116.;Fiat 500;15.0%;46 000 km;2017;2013
118.;Chevrolet Spark;15.3%;50 000 km;2017;2013
119.;Volkswagen Fox;15.4%;54 000 km;2017;2013
120.;Chevrolet Cruze;17.8%;64 000 km;2017;2013
121.;Dacia Sandero;18.1%;58 000 km;2017;2013
122.;Fiat Panda;18.4%;50 000 km;2017;2013
123.;Renault Kangoo;18.5%;69 000 km;2017;2013
124.;Dacia Logan;22.6%;72 000 km;2017;2013
1.;Mercedes-Benz SLK;2.9%;41 000 km;2017;2012
2.;Audi A6;4.2%;88 000 km;2017;2012
3.;Audi TT;4.4%;57 000 km;2017;2012
4.;Porsche 911;4.8%;47 000 km;2017;2012
4.;Audi Q5;4.8%;86 000 km;2017;2012
6.;Mitsubishi ASX;5.0%;71 000 km;2017;2012
7.;Audi A1;5.4%;57 000 km;2017;2012
8.;Mazda 3;5.6%;60 000 km;2017;2012
8.;BMW X1;5.6%;68 000 km;2017;2012
8.;Mercedes-Benz GLK;5.6%;75 000 km;2017;2012
8.;Hyundai ix20;5.6%;52 000 km;2017;2012
12.;BMW Mini Countryman;5.7%;58 000 km;2017;2012
13.;Opel Agila;5.8%;37 000 km;2017;2012
14.;Volvo S60;6.0%;85 000 km;2017;2012
14.;Audi A3;6.0%;71 000 km;2017;2012
14.;Ford Focus;6.0%;66 000 km;2017;2012
17.;Volkswagen Golf Plus;6.2%;54 000 km;2017;2012
17.;Mazda 2;6.2%;53 000 km;2017;2012
19.;Volvo XC60;6.3%;91 000 km;2017;2012
19.;Audi A4;6.3%;93 000 km;2017;2012
21.;Ford C-Max;6.7%;67 000 km;2017;2012
22.;Mercedes-Benz E Coupé;6.9%;62 000 km;2017;2012
22.;Opel Meriva;6.9%;52 000 km;2017;2012
24.;Toyota Yaris;7.0%;54 000 km;2017;2012
24.;Suzuki Swift;7.0%;56 000 km;2017;2012
26.;Toyota Corolla Verso;7.1%;68 000 km;2017;2012
26.;BMW Mini;7.1%;54 000 km;2017;2012
28.;Opel Astra;7.2%;68 000 km;2017;2012
28.;Mercedes-Benz C;7.2%;82 000 km;2017;2012
30.;Honda CRV;7.3%;66 000 km;2017;2012
31.;Mercedes-Benz E;7.4%;115 000 km;2017;2012
32.;Volkswagen EOS;7.5%;56 000 km;2017;2012
32.;Toyota Avensis;7.5%;84 000 km;2017;2012
34.;Hyundai ix35;7.6%;64 000 km;2017;2012
34.;Volkswagen Golf;7.6%;73 000 km;2017;2012
34.;Škoda Yeti;7.6%;70 000 km;2017;2012
37.;Kia Venga;7.8%;54 000 km;2017;2012
38.;Ford Fusion;7.9%;49 000 km;2017;2012
38.;Nissan Juke;7.9%;55 000 km;2017;2012
38.;Seat Altea;7.9%;69 000 km;2017;2012
41.;BMW 1;8.0%;72 000 km;2017;2012
41.;Mitsubishi Colt;8.0%;52 000 km;2017;2012
43.;BMW X5;8.1%;98 000 km;2017;2012
44.;Volkswagen Polo;8.2%;57 000 km;2017;2012
44.;BMW X3;8.2%;77 000 km;2017;2012
46.;Renault Modus;8.3%;47 000 km;2017;2012
46.;Mazda 5;8.3%;66 000 km;2017;2012
48.;Honda Jazz;8.6%;50 000 km;2017;2012
48.;BMW 3;8.6%;89 000 km;2017;2012
50.;Toyota Auris;8.7%;58 000 km;2017;2012
50.;Nissan Micra;8.7%;47 000 km;2017;2012
50.;Ford Fiesta;8.7%;58 000 km;2017;2012
50.;Ford Kuga;8.7%;77 000 km;2017;2012
54.;Škoda Fabia;8.9%;62 000 km;2017;2012
55.;Seat Leon;9.0%;72 000 km;2017;2012
56.;Alfa Romeo Giulietta;9.2%;62 000 km;2017;2012
56.;Škoda Roomster;9.2%;65 000 km;2017;2012
58.;Honda Civic;9.3%;58 000 km;2017;2012
58.;Renault Scénic;9.3%;72 000 km;2017;2012
58.;Toyota RAV4;9.3%;68 000 km;2017;2012
58.;Smart Fortwo;9.3%;45 000 km;2017;2012
62.;Opel Insignia;9.5%;92 000 km;2017;2012
63.;Suzuki Grand Vitara;9.6%;63 000 km;2017;2012
63.;Volvo S40;9.6%;90 000 km;2017;2012
65.;Škoda Superb;9.7%;102 000 km;2017;2012
65.;Mercedes-Benz A;9.7%;52 000 km;2017;2012
67.;Peugeot 107;9.9%;48 000 km;2017;2012
67.;Nissan Note;9.9%;60 000 km;2017;2012
67.;Suzuki SX4;9.9%;55 000 km;2017;2012
70.;Volkswagen Touran;10.0%;88 000 km;2017;2012
70.;Mazda 6;10.0%;77 000 km;2017;2012
72.;Citroën C4;10.1%;71 000 km;2017;2012
72.;Seat Ibiza;10.1%;64 000 km;2017;2012
72.;Opel Corsa;10.1%;54 000 km;2017;2012
72.;Renault Laguna;10.1%;84 000 km;2017;2012
76.;Mercedes-Benz B;10.2%;61 000 km;2017;2012
76.;Škoda Octavia;10.2%;92 000 km;2017;2012
78.;Citroën C1;10.3%;53 000 km;2017;2012
79.;Citroën C3;10.4%;56 000 km;2017;2012
80.;BMW 5;10.5%;99 000 km;2017;2012
80.;Nissan Qashqai;10.5%;70 000 km;2017;2012
82.;Volvo V70;10.6%;107 000 km;2017;2012
83.;Toyota Aygo;10.8%;50 000 km;2017;2012
83.;Suzuki Jimny;10.8%;47 000 km;2017;2012
83.;Volkswagen Tiguan;10.8%;71 000 km;2017;2012
86.;Kia Sportage;10.9%;67 000 km;2017;2012
86.;Opel Zafira;10.9%;79 000 km;2017;2012
88.;Volkswagen Scirocco;11.0%;66 000 km;2017;2012
89.;Hyundai i10;11.1%;47 000 km;2017;2012
89.;Volkswagen Caddy Life;11.1%;86 000 km;2017;2012
91.;Seat Alhambra;11.3%;90 000 km;2017;2012
92.;Mitsubishi Outlander;11.5%;77 000 km;2017;2012
93.;Kia Sorento;11.6%;81 000 km;2017;2012
93.;Hyundai i30;11.6%;63 000 km;2017;2012
